2026/02/17 15:24:44.479, 0, NVIDIA GeForce GTX 1060, 0 %, 3 %, 4871 MiB, 4.99 W, 41, P8
2026/02/17 15:24:44.482, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 24.27 W, 62, P2
2026/02/17 15:24:45.484, 0, NVIDIA GeForce GTX 1060, 94 %, 65 %, 4871 MiB, 75.11 W, 46, P2
2026/02/17 15:24:45.499, 1, NVIDIA GeForce GTX 1060 6GB, 92 %, 70 %, 4799 MiB, 119.11 W, 66, P2
2026/02/17 15:24:46.507, 0, NVIDIA GeForce GTX 1060, 94 %, 67 %, 4871 MiB, 79.80 W, 49, P2
2026/02/17 15:24:46.522, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 109.23 W, 67, P2
2026/02/17 15:24:47.530, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 70.67 W, 50, P2
2026/02/17 15:24:47.542, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 70 %, 4799 MiB, 106.36 W, 68, P2
2026/02/17 15:24:48.544, 0, NVIDIA GeForce GTX 1060, 93 %, 65 %, 4871 MiB, 70.70 W, 52, P2
2026/02/17 15:24:48.553, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 113.01 W, 69, P2
2026/02/17 15:24:49.558, 0, NVIDIA GeForce GTX 1060, 94 %, 66 %, 4871 MiB, 75.11 W, 53, P2
2026/02/17 15:24:49.563, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 116.00 W, 69, P2
2026/02/17 15:24:50.565, 0, NVIDIA GeForce GTX 1060, 96 %, 67 %, 4871 MiB, 74.38 W, 54, P2
2026/02/17 15:24:50.569, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 118.07 W, 69, P2
2026/02/17 15:24:51.571, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 68.93 W, 55, P2
2026/02/17 15:24:51.580, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 118.49 W, 69, P2
2026/02/17 15:24:52.582, 0, NVIDIA GeForce GTX 1060, 95 %, 66 %, 4871 MiB, 72.33 W, 56, P2
2026/02/17 15:24:52.591, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 36.63 W, 67, P2
2026/02/17 15:24:53.594, 0, NVIDIA GeForce GTX 1060, 96 %, 67 %, 4871 MiB, 73.69 W, 57, P2
2026/02/17 15:24:53.604, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 36.30 W, 65, P2
2026/02/17 15:24:54.607, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 74.88 W, 58, P2
2026/02/17 15:24:54.617, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.97 W, 65, P2
2026/02/17 15:24:55.620, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.09 W, 56, P2
2026/02/17 15:24:55.624, 1, NVIDIA GeForce GTX 1060 6GB, 27 %, 9 %, 4799 MiB, 111.42 W, 65, P2
2026/02/17 15:24:56.626, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 29.97 W, 55, P2
2026/02/17 15:24:56.630, 1, NVIDIA GeForce GTX 1060 6GB, 92 %, 70 %, 4799 MiB, 103.52 W, 68, P2
2026/02/17 15:24:57.632, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 29.84 W, 55, P2
2026/02/17 15:24:57.634, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 120.24 W, 68, P2
2026/02/17 15:24:58.636, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.00 W, 54, P2
2026/02/17 15:24:58.638, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 121.74 W, 69, P2
2026/02/17 15:24:59.641, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.00 W, 53, P2
2026/02/17 15:24:59.643, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 108.22 W, 69, P2
2026/02/17 15:25:00.645, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 27.00 W, 53, P2
2026/02/17 15:25:00.647, 1, NVIDIA GeForce GTX 1060 6GB, 95 %, 71 %, 4799 MiB, 115.82 W, 70, P2
